,数量,讯飞 wer,讯飞 acc,qwen3-asr-0.6b baseline wer,qwen3-asr-0.6b baseline acc
Total,1797,3.58,90.15,8.83,73.9
carControl,685,2.67,91.09,6.62,82.19
navi,312,4.53,87.18,8.77,68.59
media,203,4.35,89.66,11.09,67.0
unknown,160,3.78,88.12,16.52,56.88
generalControl,107,3.34,94.39,15.04,77.57
appPageControl,93,0.21,98.92,9.26,78.49
lifeService,74,9.11,86.49,8.3,67.57
phone,38,4.29,86.84,12.45,44.74
autoPilot,35,0.0,100.0,4.27,85.71
mediaControl,24,1.15,95.83,11.49,79.17
carControl;carControl,20,3.35,75.0,0.47,95.0
carKnowledge,19,2.59,84.21,5.58,73.68
vehicleInfo,7,4.88,71.43,19.51,57.14
weather,6,10.0,83.33,6.0,50.0
sceneArrangement,4,0.0,100.0,0.0,100.0
carControl;carControl;carControl,3,6.06,66.67,0.0,100.0
appPageControl;media,3,0.0,100.0,7.69,66.67
carControl;appPageControl,2,0.0,100.0,10.0,50.0
media;carControl,1,7.14,0.0,0.0,100.0
smartHome,1,0.0,100.0,0.0,100.0
